9711.938332, 9632.626457, 9632.626457, 9316.151348, 8940.398235, 8940.398235, 8167.253281, 8167.253281, 7613.345336, 7205.746127, 5868.577632, 5868.577632, 5868.577632, 5868.577632, 5600.323217, 5600.323217, 5600.323217, -46395.773184, -46395.773184, -46395.773184, -46395.773184, -46395.773184, -46395.773184, -46395.773184, -46395.773184, -46395.773184, -46395.773184, -46395.773184, -46395.773184, -46395.773184, -46395.773184, -46395.773184, -46395.773184, -46395.773184, -46395.773184, -46395.773184, -46395.773184, -46395.773184, -46395.773184, -46395.773184, -46395.773184, -46395.773184, -46395.773184, -46395.773184, -46395.773184, -46395.773184, -46395.773184, -46395.773184, -46395.773184, -46395.773184, -46889.917521, -46889.917521, -115976.170070, -115976.170070, -115976.170070, -115976.170070, -115976.170070, -115976.170070, -115976.170070, -115976.170070, -115976.170070, -115976.170070, -115976.170070, -115976.170070, -115976.170070, -115976.170070, -115976.170070, -115976.170070, -115976.170070, -115976.170070, -115976.170070, -115976.170070, -253463.427496, -253463.427496, -253463.427496, -253463.427496, -253463.427496, -253463.427496, -253463.427496, -253463.427496, -253463.427496, -253463.427496, -253463.427496, -253463.427496, -253463.427496, -253463.427496, -253463.427496, -253463.427496, -253463.427496, -253463.427496, -253463.427496, -253463.427496, -253463.427496, -253463.427496, -253463.427496, -413589.022341, -514079.189779, -514079.189779, -514079.189779, -514079.189779, 
14990.411133, 15483.763086, 15974.134167, 15974.134167, 15974.134167, 15974.134167, 16129.622962, 17163.540342, 18250.713709, 18250.713709, 18250.713709, 18250.713709, 18250.713709, 18250.713709, 18250.713709, 18250.713709, 18250.713709, 18413.909435, 18413.909435, 51070.180879, 51070.180879, 51070.180879, 51070.180879, 51070.180879, 51070.180879, 51070.180879, 51070.180879, 51070.180879, 51070.180879, 51070.180879, 51070.180879, 51070.180879, 51070.180879, 51070.180879, 51070.180879, 51070.180879, 51070.180879, 51070.180879, 51070.180879, 51070.180879, 56722.822433, 56722.822433, 56722.822433, 56722.822433, 56722.822433, 56722.822433, 56722.822433, 56722.822433, 56722.822433, 56722.822433, 127928.000043, 127928.000043, 127928.000043, 127928.000043, 127928.000043, 127928.000043, 127928.000043, 127928.000043, 127928.000043, 127928.000043, 127928.000043, 127928.000043, 127928.000043, 127928.000043, 127928.000043, 127928.000043, 127928.000043, 127928.000043, 129495.680719, 135347.088748, 136642.287569, 136642.287569, 136642.287569, 136642.287569, 136642.287569, 136642.287569, 136642.287569, 159018.249979, 159018.249979, 159018.249979, 159018.249979, 183142.187540, 183142.187540, 183142.187540, 183142.187540, 183142.187540, 207811.516622, 228978.142301, 228978.142301, 228978.142301, 278969.304011, 284652.448719, 284652.448719, 284652.448719, 284652.448719, 811572.997254, 811572.997254, 811572.997254, 811572.997254, 811572.997254, 

Experiment for 0 took, 4307.000000, Counter, 10000
69603.293959, 69603.293959, 69603.293959, 69603.293959, 69603.293959, 69603.293959, 69603.293959, 69603.293959, 69603.293959, 69603.293959, 69603.293959, 69603.293959, 69603.293959, 69603.293959, 69603.293959, 69603.293959, 69603.293959, 69603.293959, 69603.293959, 69603.293959, 55441.360641, 17717.704413, 17717.704413, 17717.704413, 17717.704413, 17717.704413, 17717.704413, 17717.704413, 17717.704413, 17717.704413, 17717.704413, 17717.704413, 17717.704413, 13548.112485, 7645.477163, 4140.285966, 2334.755691, 1312.585452, 840.266112, 678.234262, 624.014906, 608.485220, 608.485220, 608.485220, 608.485220, 608.485220, 608.485220, 606.237151, 598.013509, 592.197341, 588.492311, 586.134116, 584.637855, 583.692990, 583.099823, 582.729917, 582.500894, 582.360165, 582.274366, 582.222474, 582.191345, 582.172826, 582.161900, 582.155508, 582.151801, 582.149670, 582.148455, 582.147769, 582.147384, 582.147171, 582.147054, 582.146990, 582.146955, 582.146937, 582.146927, 582.146922, 582.146919, 582.146918, 582.146917, 582.146917, 582.146916, 582.146916, 582.146916, 582.146916, 582.146916, 582.146916, 582.146916, 582.146916, 582.146916, 582.146916, 582.146916, 582.146916, 582.146916, 582.146916, 582.146916, 582.146916, 582.146916, 582.146916, 582.146916, 582.146916, 
279764.933114, 679183.936951, 988472.186501, 1337751.733871, 1337751.733871, 1337751.733871, 1337751.733871, 1337751.733871, 1337751.733871, 1345349.803579, 1474663.607527, 1526596.356809, 1763078.303147, 1866567.651749, 1920471.953246, 1939195.588703, 1955614.223177, 2051308.219305, 2174529.986167, 2545715.486087, 2575075.098484, 2622290.552125, 5810634.983892, 6039884.030342, 6155027.662303, 6759457.789964, 7147928.198309, 7414233.317743, 8022370.831744, 8238086.073340, 8445182.057694, 9285198.518625, 9671891.737073, 9925055.018015, 10010250.976398, 10442043.720451, 10785540.433643, 11257557.422498, 53334949.218258, 55947787.313129, 77531990.389017, 80642936.146394, 90075155.140277, 94235506.416843, 105773777.789795, 107757148.674399, 112554684.832121, 118992117.581594, 160641315.520687, 171318308.499970, 184400710.351389, 195109760.967778, 204546198.523797, 216865706.742965, 224412017.855701, 235383905.836594, 246151087.117522, 247153531.037649, 264472239.435093, 341813258.855184, 645151579.085819, 689347646.769561, 761119143.393783, 769280602.831233, 788050544.892997, 811518749.477501, 884480014.581203, 893575542.342968, 898565575.376535, 933565116.891353, 976156459.137784, 1032114586.197057, 1044160126.305112, 1064705652.824126, 1136987130.358734, 1213519521.444465, 1284140783.398441, 1348294409.620534, 1434954237.773103, 1441258654.234807, 1477786018.776895, 1642127402.767054, 1668158892.432629, 1729092630.133467, 1806337973.123483, 2004822808.419516, 2064854107.019457, 2292652617.038431, 2331750086.300376, 2458891852.688729, 3609524878.299089, 4026018330.917642, 6474796548.080293, 6703508711.769143, 6875663970.096818, 7008088311.459142, 7019969963.847220, 7106484375.515373, 7208553771.768648, 7567652829.897451, 

Experiment for 1 took, 4303.000000, Counter, 10000
20321995134.830273, 20321995134.830273, 20321995134.830273, 20321995134.830273, 20321995134.830273, 20321995134.830273, 20321995134.830273, 20321995134.830273, 20321995134.830273, 20321995134.830273, 20321995134.830273, 20321995134.830273, 20321995134.830273, 20321995134.830273, 20321995134.830273, 20321995134.830273, 20321995134.830273, 20321995134.830273, 19243133534.108025, 1175577813.283283, 1175577813.283283, 1175577813.283283, 1175577813.283283, 1175577813.283283, 1175577813.283283, 1175577813.283283, 1175577813.283283, 1175577813.283283, 1175577813.283283, 1175577813.283283, 1175577813.283283, 1175577813.283283, 344281916.999039, 31688480.595626, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 3178844.380519, 
452690235113.375430, 2096775520280.643800, 5168085628981.780300, 58047832395392.617000, 59931680142302.594000, 72585470569224.281000, 78628086720106.750000, 87052780145093.000000, 116461603864418.360000, 149462596876174.780000, 166894456613453.620000, 218297468088373.780000, 225189525175177.280000, 260596222962146.810000, 356194090418031.000000, 391756262078498.060000, 484551356365887.810000, 518708754629057.060000, 599080491020633.250000, 2364829759790293.500000, 2536237166113101.500000, 2753889771855041.000000, 2813393185591822.500000, 3619326885147857.000000, 3871115596507394.000000, 4300659905920544.000000, 4482367585895368.500000, 4882194877889642.000000, 5280829630982244.000000, 5586787165092813.000000, 182765493560449250.000000, 183262618923770500.000000, 200550364588737820.000000, 210049057309414750.000000, 233849231609492830.000000, 251762690024033820.000000, 296849640061554500.000000, 319618059861152580.000000, 328792201986848260.000000, 432583869428055170.000000, 563747085278088830.000000, 625151458295568770.000000, 665809548675573500.000000, 673666869067069060.000000, 724913252379598210.000000, 847532799240862080.000000, 889136043158173440.000000, 943947374734055550.000000, 1012712487473243100.000000, 1105151744216702100.000000, 1114776209952109600.000000, 1502337112427891200.000000, 1591201518053548800.000000, 1750662190989039600.000000, 1912868076745130000.000000, 2061516389545388800.000000, 2196278669288018900.000000, 2386543122741339100.000000, 2643064364188827600.000000, 2737129586275425300.000000, 3259300042602524200.000000, 3529405298781771800.000000, 222203477800470480000.000000, 225380208971720620000.000000, 231646854447287440000.000000, 249362470476676690000.000000, 280594806629942890000.000000, 332114474017676530000.000000, 338820244879556350000.000000, 379313195343075340000.000000, 420813416048870820000.000000, 444127418557866510000.000000, 451185391797434580000.000000, 577132546359410030000.000000, 624212971482755100000.000000, 905595769762468860000.000000, 957462244307115970000.000000, 1059780544286686400000.000000, 1129805238459967900000.000000, 1149785835063934300000.000000, 1252031178970634400000.000000, 1354696632301654600000.000000, 1411027664865496100000.000000, 2298106374853216400000.000000, 2513321067079002500000.000000, 2613058386515873800000.000000, 3370947256776920700000.000000, 3444989898331363700000.000000, 4375224640974392100000.000000, 4795014860057705700000.000000, 5203904846319609400000.000000, 5894112103670923400000.000000, 6325639349693093800000.000000, 6828878972284764700000.000000, 6830279625932903800000.000000, 7174435240303588800000.000000, 7517758904445787200000.000000, 7888463605412924500000.000000, 8649882091360718200000.000000, 9452334962094643300000.000000, 
